,종목명,액면가,주식수,wordcloud_news_positive
0,대한항공,5000,347820825,
1,CJ제일제당,5000,15054186,
2,극동유화,500,34869420,
3,유성기업,500,25947500,유성기업.png
4,계양전기,500,32600000,
5,삼성바이오로직스,2500,66165000,
6,한미약품,2500,12078282,
7,POSCO,5000,87186835,
8,광주신세계,5000,1600000,
9,한국전력,5000,641964077,
10,현대건설,5000,111355765,
11,대우조선해양,5000,107290669,
12,LG이노텍,5000,23667107,
13,삼성SDI,5000,68764530,
14,현대글로비스,500,37500000,
15,현대위아,5000,27195083,
16,삼화전기,1000,6613820,
17,삼부토건,1000,137546368,
18,GS건설,5000,85490868,GS건설.png
19,대성산업,5000,45235478,
20,고려아연,5000,18870000,
21,태영건설,500,38899098,태영건설.png
22,하이스틸,500,19999440,
23,KT,5000,261111808,
24,롯데쇼핑,5000,28288755,
25,세방,500,19308690,
26,세이브존I&C,1000,41040895,
27,미창석유,5000,1739672,
28,롯데케미칼,5000,34275419,
29,카카오,100,443857175,
30,KH 필룩스,500,132729928,
31,롯데정밀화학,5000,25800000,롯데정밀화학.png
32,한국조선해양,5000,70773116,
33,조선내화,5000,4000000,
34,LG화학,5000,70592343,LG화학.png
35,현대제철,5000,133445785,
36,유니퀘스트,500,27327975,
37,한국가스공사,5000,92313000,
38,동화약품,1000,27931470,
39,S-Oil,2500,112582792,
40,이월드,1000,106139897,
41,호텔신라,5000,39248121,
42,서울가스,5000,5000000,
43,써니전자,500,34845011,
44,삼성전자,100,5969782550,삼성전자.png
45,일진머티리얼즈,500,46110835,
46,삼아알미늄,500,11000000,
47,진양화학,500,12000000,
48,NAVER,100,164263395,
49,조선선재,500,1257651,
50,한전KPS,200,45000000,
51,SK이노베이션,5000,92465564,
